优先级,测试项目,测试标题,用例编号,预置条件,测试输入,操作步骤,预期结果,实际结果
,用户管理-新增,点击添加用户，刷新页面,add-005,"1.使用admin账号
2.页面正常打开","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理
3.点击新增，输入用户昵称普通人ptr
4.刷新页面
5.点击新增",新增页面不保存数据,
,用户管理-新增,添加正常状态用户后账号可正常登录,add-006,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定
5.注销登录
6.输入名称和密码
7.点击登录","1.跳转页面到若衣管理系统
2.弹出需要修改密码
3.账号名是普通人ptr",
,用户管理-新增,添加停用状态用户后账号无法登录,add-007,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456"",""status"":""1""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定
5.注销登录
6.输入名称和密码
7.点击登录",用户已封禁，请联系管理员,
,用户管理-新增,添加正常状态用户显示信息,add-008,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定",表格显示添加用户的信息,
,用户管理-新增,快速连续点击两次确定仅添加一条用户,add-009,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击两次确定","ry数据库user表多了一个ptr123用户
网页端表格多了一个普通人ptr用户",
,用户管理-新增,添加用户成功后点击新增按钮弹窗内容清空,add-010,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定
5.再次点击新增按钮",新增所有行都为空,
,用户管理-新增,同一用户名称重复添加提示已存在,add-011,"1.使用admin账号
2.页面正常打开
3.之前不存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定
5.再重复上述添加操作",提示已存在，查询ry只有一条数据,
,用户管理-修改,修改指定用户，只填必填值,alter-001,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击修改
4.修改用户昵称，确定","ry数据库user表ptr123用户的昵称变为普通人
",
,用户管理-修改,修改指定用户界面，点击取消,alter-002,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击修改
4.点击取消",网页端界面普通人ptr无变化,
,用户管理-修改,修改正常状态用户后账号可正常登录,alter-003,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456"",""status"":""1""}","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击修改
4.修改为正常，确定
5.注销登录
6.输入名称和密码
7.点击登录","1.跳转页面到若衣管理系统
2.弹出需要修改密码
3.账号名是普通人ptr
4.修改表格显示为正常",
,用户管理-修改,修改停用状态用户后账号无法登录,alter-004,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击修改
4.修改为停用，确定
5.注销登录
6.输入名称和密码
7.点击登录","提示账户已封禁，请联系管理员
修改表格显示为停用",
,用户管理-修改,修改指定用户，指定部门,alter-005,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""ptr123"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击修改
4.指定相应部门，确定",显示该用户用部门,
,用户管理-删除,删除指定common用户,del-001,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""ptr123"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击删除，再确定","数据库查询该用户没被删除
表格消失显示该用户",
,用户管理-删除,删除指定用户不能登录,del-002,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""ptr123"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击删除，再确定
4.注销登录
5.输入名称和密码
6.点击登录",用户不存在/密码错误,
,用户管理-删除,删除指定用户有弹窗提示,del-003,"1.使用admin账号
2.页面正常打开
3.存在普通人ptr用户","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""ptr123"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击普通人ptr用户的选择框
3.点击删除，再确定",有提示框让你再次确定,
,用户管理-删除,删除admin用户,del-004,"1.使用admin账号
2.页面正常打开","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""admin"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击admin用户的选择框
3.点击删除，再确定",提示无权限删除,
